time/total_timesteps,rollout/ep_score_p90,rollout/ep_count,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_score_median,train/ent_coef,train/entropy_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss
499712,1430.4266235999999,98,28,923.91687447,61,83.14,17360,922.0928220000001,0.010505472000000002,-0.8481310129165649,0.0,4.160848e-05,0.000655936,0.0017392635345458984,0.2,-5.23462804267183e-06,600,52521.390625,102777.411328125
507904,1450.796212,101,29,903.4829651100001,62,81.71,17360,828.40804,0.010349824,-0.8321187496185303,0.0,0.0003521938,0.0006502016000000001,0.00587695837020874,0.2,-0.0003259365155827254,610,63451.6171875,125930.47265625
516096,1350.9390986,105,29,834.36578659,63,77.58,17358,762.289196,0.010194176,-0.8183336153626442,0.0,8.04273e-05,0.0006444672,0.0024759769439697266,0.2,-9.011425718199461e-05,620,59342.11328125,119341.1982421875
524288,1528.1978387000001,100,30,904.4917957299997,64,82.21,17356,809.3087945,0.010038528000000001,-0.8123192116618156,0.0,0.00027929223,0.0006387328,0.003225386142730713,0.2,-0.000281189288944006,630,59765.859375,118663.8744140625
532480,1428.6407325,106,30,799.61454094,65,78.03,17354,692.3751225,0.00988288,-0.834423366189003,0.0,0.00029874212,0.0006329984,0.003410816192626953,0.2,-0.0001154524419689551,640,63077.6640625,124308.5619140625
540672,1422.016401,101,31,839.2714771400001,66,79.03,17353,709.969433,0.009727231999999999,-0.8424835681915284,0.0,0.00010242931,0.000627264,0.0016894936561584473,0.2,-0.00015467652410734446,650,51311.6484375,106987.0900390625
548864,1335.1037412,105,31,838.20590032,67,78.81,17351,726.517187,0.009571584000000001,-0.8310122713446617,0.0,4.339032e-05,0.0006215296,0.0018094778060913086,0.2,-9.63118567597121e-05,660,57362.5625,114497.97265625
557056,1426.3050433,102,32,855.4978635700002,68,81.33,17349,711.9803515,0.009415936,-0.8213405221700668,0.0,0.00020489178,0.0006157952,0.0023130178451538086,0.2,-0.00035852249711751936,670,56085.671875,111657.4990234375
565248,1281.9854896000002,105,32,788.89747051,69,77.98,17346,652.840141,0.009260288000000002,-0.8159026607871056,0.0,0.00026125798,0.0006100608,0.004865407943725586,0.2,-0.0002492612664354965,680,56106.2890625,111727.0947265625
573440,1336.9533158,107,33,809.26689684,70,76.55,17344,739.720489,0.00910464,-0.8087231501936912,0.0,4.7748872e-05,0.0006043264,0.0047266483306884766,0.2,-0.00010831311228685082,690,44701.2734375,93228.98046875
581632,1378.0065048,103,33,802.6307749300001,71,78.34,17343,707.607876,0.008948992,-0.7946701869368553,0.0,5.9539394e-05,0.000598592,0.003081202507019043,0.2,-0.00011835342738777399,700,51724.546875,104295.3927734375
589824,1639.3728724000002,105,34,915.0168117499999,72,79.39,17342,770.147684,0.008793344,-0.8000150308012962,0.0,6.380706e-05,0.0005928576,0.003246128559112549,0.2,-5.084440053906292e-05,710,49939.5859375,98169.4830078125
598016,1461.3216922000001,100,34,915.2422787800002,73,81.45,17341,841.5456795,0.008637696,-0.784479920566082,0.0,0.00038949415,0.0005871232,0.0021063685417175293,0.2,-0.00042568283679429443,720,77784.1171875,150190.940625
606208,1442.8424106000002,105,34,855.1244436000001,74,78.56,17338,725.27346,0.008482048,-0.7624467328190804,0.0,0.0006240752,0.0005813888,0.004212796688079834,0.2,-0.0004686827945988625,730,61463.15234375,122959.191015625
614400,1505.7130763999999,103,35,920.4751403500002,75,79.29,17336,830.270025,0.008326400000000001,-0.7517880961298943,0.0,1.8080107e-05,0.0005756544,0.006680428981781006,0.2,-4.334488621680066e-05,740,56284.1953125,113959.325390625
622592,1370.3864347,104,35,833.6356362600001,76,77.93,17333,744.552481,0.008170752,-0.7500003173947334,0.0,5.7392936e-05,0.00056992,0.003799140453338623,0.2,-9.591353518771939e-05,750,77082.3984375,147758.989453125
630784,1379.3188376000003,95,36,1049.21774266,77,86.87,17331,691.395385,0.008015103999999999,-0.764709360897541,0.0,2.5808236e-05,0.0005641856,0.0015598535537719727,0.2,-2.2362303570844234e-05,760,58954.62890625,116380.9060546875
638976,1404.088246,106,36,817.22106081,78,76.5,17329,684.4245725000001,0.007859456,-0.7902199849486351,0.0,1.41625205e-05,0.0005584512,0.003036677837371826,0.2,-4.230633203405887e-05,770,108618.0078125,211446.670703125
647168,1372.9846575000001,106,37,815.81286789,79,77.87,17328,757.1944825,0.007703808,-0.7677964955568314,0.0,3.3886354e-05,0.0005527168,0.002039194107055664,0.2,-9.24073814530857e-05,780,58565.5234375,114513.5521484375
655360,1310.2613691,108,37,754.34217416,80,75.04,17327,644.5213705,0.007548159999999999,-0.7774189680814743,0.0,1.1638185e-05,0.0005469824,0.006095707416534424,0.2,-1.8207478569820522e-05,790,52515.07421875,105253.7576171875
663552,1550.015907,101,38,923.7376618999998,81,80.65,17324,815.165264,0.0073925119999999995,-0.7729041919112205,0.0,4.6911533e-05,0.000541248,0.0039487481117248535,0.2,-8.045195136219263e-05,800,47008.87109375,95373.3521484375
671744,1464.2096592000005,105,38,875.80113105,82,78.48,17321,753.452234,0.007236864,-0.7652240589261055,0.0,0.00010048446,0.0005355136,0.0028125643730163574,0.2,-9.413785592187196e-05,810,66767.8515625,134158.658203125
679936,1520.8283270999998,98,39,952.36767321,83,82.17,17320,755.9686245,0.007081216,-0.7547692701220512,0.0,0.00029055646,0.0005297792,0.005997717380523682,0.2,-0.0002695420727832243,820,59492.6640625,117853.7744140625
688128,1536.805409200001,105,39,906.3987880399999,84,79.45,17319,801.949472,0.006925568000000001,-0.7540016487240792,0.0,0.00021936506,0.0005240448,0.002844512462615967,0.2,-0.0003106005780864507,830,77260.9765625,158626.1515625
696320,1348.2256062,109,40,780.5109919499998,85,75.18,17316,627.438218,0.006769919999999999,-0.7388075590133667,0.0,7.236784e-05,0.0005183104,0.004021108150482178,0.2,-0.00011337852920405567,840,63131.546875,128710.0765625
704512,1325.6401614000001,104,40,842.5303625899999,86,77.84,17316,773.896565,0.006614271999999999,-0.7374949470162392,0.0,5.6047866e-06,0.0005125759999999999,0.004659831523895264,0.2,-5.834978073835373e-05,850,45113.36328125,91919.707421875
712704,1461.6649544000004,105,41,869.5335076300003,87,78.94,17312,850.644987,0.006458624,-0.7334937423467636,0.0,2.4794499e-05,0.0005068416,0.007868170738220215,0.2,-8.18986794911325e-05,860,53048.33984375,101576.409765625
720896,1358.2884629999999,106,41,796.0723848199999,88,75.81,17311,701.8095860000001,0.006302976,-0.726136502623558,0.0,8.779051e-05,0.0005011072,0.006080031394958496,0.2,-0.0001353941683191806,870,55845.8125,113594.113671875
729088,1611.616343,91,42,1137.56180877,89,89.9,17311,869.665721,0.0061473280000000005,-0.7202152088284492,0.0,3.0337615e-06,0.0004953728000000001,0.0048896074295043945,0.2,-1.6217544907703995e-05,880,47677.875,98205.9248046875
737280,1546.281492,106,42,849.56305713,90,77.33,17309,754.781296,0.005991679999999999,-0.7399138048291206,0.0,0.00016366594,0.0004896384000000001,0.004163086414337158,0.2,-0.00025429480883758514,890,110623.5,223603.71015625
745472,1371.145487,106,43,827.29298939,91,77.74,17307,743.918192,0.005836032,-0.7148177787661553,0.0,0.00013431661,0.00048390399999999995,0.003937423229217529,0.2,-0.00010732606751844287,900,58422.4296875,116047.57890625
753664,1478.8651811000002,100,43,900.1463928400001,92,80.03,17306,815.755856,0.005680384,-0.7350924074649811,0.0,1.9553678e-05,0.00047816959999999996,0.0064231157302856445,0.2,-5.088862089905888e-05,910,49257.265625,99738.085546875
761856,1579.1961100000003,105,44,925.46109834,93,80.1,17304,801.275055,0.005524736000000001,-0.7191692009568215,0.0,9.458618e-05,0.00047243519999999996,0.0028668642044067383,0.2,-0.0001976439612917602,920,60852.890625,119146.691015625
770048,1417.1971445,106,44,864.50445782,94,77.54,17302,763.97315,0.005369088000000001,-0.7204616844654084,0.0,6.883037e-05,0.0004667008,0.0031914710998535156,0.2,-0.00012093301920685917,930,63194.69921875,131268.32578125
778240,1514.1365745000003,104,44,889.4662921099999,95,78.08,17301,772.3420405,0.005213439999999999,-0.7059788450598716,0.0,3.7304795e-05,0.0004609664,0.0015527606010437012,0.2,-0.00011133437947137281,940,55777.32421875,113145.455859375
786432,1435.7987224,107,45,823.5633095400001,96,75.4,17299,753.233542,0.005057791999999999,-0.6961377069354058,0.0,4.581861e-05,0.00045523199999999997,0.006168365478515625,0.2,-0.00011569183989195153,950,57831.19921875,116794.485546875
794624,1351.805666,111,45,795.56363134,97,74.76,17298,700.71936,0.004902144,-0.6973249644041062,0.0,1.51452405e-05,0.00044949759999999997,0.005432486534118652,0.2,-6.251528684515506e-05,960,52813.22265625,102883.02578125
802816,1680.4716726000001,99,46,933.95638301,98,80.14,17298,784.964183,0.004746496,-0.6976747155189514,0.0,2.2797329e-05,0.0004437632,0.004803359508514404,0.2,-5.9835586580447855e-05,970,46858.08984375,94942.9298828125
811008,1572.4937682,103,46,919.5758904800001,99,80.86,17297,800.978008,0.004590848000000001,-0.6943244397640228,0.0,2.063295e-05,0.0004380288,0.003869295120239258,0.2,-7.26677622878924e-05,980,66752.5,139078.105859375
819200,1607.7431146000004,105,47,933.9671808499999,100,79.12,17296,864.39332,0.004435199999999999,-0.7052728146314621,0.0,1.5473051e-05,0.00043229440000000003,0.005988895893096924,0.2,-5.366183759178966e-05,990,62417.1328125,125034.9640625
827392,1467.4557985000001,106,47,855.64116016,101,77.34,17295,715.7431875,0.004279552,-0.6818134009838104,0.0,1.2368444e-05,0.00042656,0.00654834508895874,0.2,-7.033805450191721e-05,1000,65735.6171875,130972.542578125
835584,1536.2669072,104,48,880.83870795,102,77.17,17294,778.4904765,0.004123904,-0.6945098862051964,0.0,5.0918607e-06,0.0004208256,0.005688607692718506,0.2,-1.72119791386649e-05,1010,58912.87890625,119739.4837890625
843776,1477.511342,107,48,853.6965686700001,103,76.84,17293,725.637231,0.003968256,-0.6780600473284721,0.0,5.7671612e-05,0.0004150912,0.0037351250648498535,0.2,-8.842329261824489e-05,1020,59594.35546875,117703.929296875
851968,1375.2967224000001,105,49,868.97783061,104,78.43,17292,766.087554,0.0038126080000000007,-0.6841657519340515,0.0,0.00012030799,0.0004093568,0.0030535459518432617,0.2,-0.00018164664506912232,1030,60794.91796875,122082.333203125
860160,1546.8186408,103,49,912.39773935,105,79.31,17290,781.830809,0.0036569599999999995,-0.6804732754826546,0.0,1.3404831e-05,0.0004036224,0.007903873920440674,0.2,-1.733605458866805e-05,1040,54248.59765625,107842.46171875
868352,1561.3205580000001,105,50,892.6111140500002,106,78.08,17297,755.707032,0.003501312,-0.664359274506569,0.0,0.00014884492,0.000397888,0.006149590015411377,0.2,-0.00022712050413247197,1050,59354.63671875,120649.847265625
876544,1369.1581984,107,50,864.2974900399998,107,76.29,17299,779.689328,0.0033456640000000004,-0.6495394140481949,0.0,0.00037395634,0.0003921536,0.006505191326141357,0.2,-0.0004008422081824392,1060,57926.80859375,115148.5693359375
884736,1486.7671540000001,107,51,902.7077732899999,108,76.88,17297,713.951627,0.0031900160000000004,-0.6303568676114082,0.0,2.3886292e-05,0.0003864192,0.0054596662521362305,0.2,-3.511291579343379e-05,1070,54372.35546875,110568.649609375
892928,1553.2180047,104,51,902.4848035800001,109,77.36,17297,756.267763,0.003034367999999999,-0.6320310473442078,0.0,2.4631889e-05,0.0003806848,0.0016140937805175781,0.2,-5.833145696669817e-05,1080,73488.171875,149680.14296875
901120,1627.0889629,102,52,913.2369446900001,110,77.88,17296,759.138895,0.0028787199999999995,-0.6291766911745071,0.0,1.2277356e-05,0.00037495039999999995,0.004268944263458252,0.2,-5.890994070796296e-05,1090,67788.875,132775.8318359375
909312,1545.7606795,98,52,1070.9003372,111,86.81,17295,833.932142,0.002723072,-0.6441290289163589,0.0,2.498812e-05,0.00036921599999999996,0.0039002299308776855,0.2,-0.00013316615368239582,1100,98215.828125,191826.640234375
917504,1567.5675928,105,53,894.2886446399998,112,76.95,17295,769.411212,0.0025674240000000004,-0.6538896054029465,0.0,1.4362704e-05,0.00036348159999999996,0.00595545768737793,0.2,-2.6379749760963024e-05,1110,80457.9453125,161886.363671875
925696,1476.0924996000008,107,53,915.54470187,113,77.81,17294,804.449401,0.002411776000000001,-0.6234623804688454,0.0,4.82872e-05,0.0003577472,0.005022227764129639,0.2,-9.283744439017027e-05,1120,61575.8203125,121235.67734375
933888,1584.062441,103,54,938.57927182,114,78.35,17293,799.569144,0.0022561279999999987,-0.6180748641490936,0.0,4.1836734e-05,0.0003520128,0.004198014736175537,0.2,-0.0001120271481340751,1130,62478.640625,121064.7525390625
942080,1519.8330365000002,106,54,939.28595738,115,77.44,17292,737.720423,0.002100479999999999,-0.6115734562277794,0.0,2.0634034e-05,0.00034627839999999997,0.003328680992126465,0.2,-5.14612314873375e-05,1140,67123.2890625,131703.2296875
950272,1509.7885356000002,104,54,931.35874722,116,78.41,17292,820.1568555,0.0019448319999999999,-0.6064759775996208,0.0,2.8766051e-05,0.00034054399999999997,0.0023372769355773926,0.2,-7.369120139628648e-05,1150,72680.96875,143076.08125
958464,1491.0570554,109,55,869.27332182,117,76.06,17292,779.344803,0.0017891840000000003,-0.6165547162294388,0.0,7.652467e-06,0.0003348096,0.004826664924621582,0.2,-2.975627139676362e-05,1160,70419.890625,136990.604296875
966656,1519.0060245,104,55,908.5482672099997,118,77.89,17290,818.5435534999999,0.0016335360000000008,-0.6222605988383293,0.0,1.1915297e-05,0.0003290752,0.005938827991485596,0.2,-3.2250321237370375e-05,1170,55350.484375,111675.65859375
974848,1485.8411786,108,56,894.0948005000001,119,76.61,17289,756.139646,0.001477887999999999,-0.6114979475736618,0.0,7.639817e-05,0.00032334080000000003,0.003816843032836914,0.2,-0.00015186038217507303,1180,61256.34375,122674.193359375
983040,1564.2803290000002,107,56,887.41183443,120,75.81,17288,721.556625,0.0013222399999999995,-0.59537063986063,0.0,2.2581524e-05,0.00031760639999999993,0.00318223237991333,0.2,-3.588669205782935e-05,1190,58159.14453125,113000.0798828125
991232,1627.2629486,104,57,915.4096224000001,121,78.14,17287,838.0774134999999,0.001166592,-0.5899626195430756,0.0,8.097475e-05,0.00031187199999999993,0.004995822906494141,0.2,-0.0001307150349020958,1200,60550.23828125,126925.7552734375
999424,1456.77831,111,57,844.44541549,122,74.79,17286,677.554726,0.0010109440000000004,-0.5818661987781525,0.0,0.000117492214,0.0003061376,0.012501001358032227,0.2,-0.00019559573556762188,1210,60554.2109375,122483.5974609375
1007616,1486.762086,109,58,875.60632264,123,75.65,17284,775.516704,0.001,-0.5737759873270989,0.0,1.8260333e-05,0.0003004032,0.004917800426483154,0.2,-2.9114584322087467e-05,1220,54705.4921875,105103.743359375
